9.505000000000001;A1;C03;    · channel = 1
9.505000000000001;A1;C03;    · cca = -82.000000 dBm
9.505000000000001;A1;C03;    · tx_power = 15.000000 dBm
9.505000000000001;A1;C03;    · max_bandwidth = 1
9.505000000000001;A1;C00;  - Next request to be sent at 10.005000
10.005000000000001;A1;F00; RequestInformationToAp() (request #19)
10.005000000000001;A1;F00; InportReceivingInformationFromAp()
10.005000000000001;A1;C03;  - Action (1):
10.005000000000001;A1;C03;    · channel = 1
10.005000000000001;A1;C03;    · cca = -82.000000 dBm
10.005000000000001;A1;C03;    · tx_power = 15.000000 dBm
10.005000000000001;A1;C03;    · max_bandwidth = 1
10.005000000000001;A1;C03;  - Performance:
10.005000000000001;A1;C03;    · Average throughput = 13.22 Mbps
10.005000000000001;A1;C03;    · Average delay = 0.0098 s
10.005000000000001;A1;C03;    · Maximum delay = 0.0747 s
10.005000000000001;A1;C03;    · Minimum delay = 0.0000 s
10.005000000000001;A1;C03;    · Associated reward = 0.301402
10.005000000000001;A1;F00; ComputeNewConfiguration()
10.005000000000001;A1;F00; SendNewConfigurationToAp()
10.005000000000001;A1;C03;  - Action (0):
10.005000000000001;A1;C03;    · channel = 0
10.005000000000001;A1;C03;    · cca = -82.000000 dBm
10.005000000000001;A1;C03;    · tx_power = 15.000000 dBm
10.005000000000001;A1;C03;    · max_bandwidth = 1
10.005000000000001;A1;C00;  - Next request to be sent at 10.505000
10.505000000000001;A1;F00; RequestInformationToAp() (request #20)
10.505000000000001;A1;F00; InportReceivingInformationFromAp()
10.505000000000001;A1;C03;  - Action (0):
10.505000000000001;A1;C03;    · channel = 0
10.505000000000001;A1;C03;    · cca = -82.000000 dBm
10.505000000000001;A1;C03;    · tx_power = 15.000000 dBm
10.505000000000001;A1;C03;    · max_bandwidth = 1
10.505000000000001;A1;C03;  - Performance:
10.505000000000001;A1;C03;    · Average throughput = 15.05 Mbps
10.505000000000001;A1;C03;    · Average delay = 0.0083 s
10.505000000000001;A1;C03;    · Maximum delay = 0.0287 s
10.505000000000001;A1;C03;    · Minimum delay = 0.0000 s
10.505000000000001;A1;C03;    · Associated reward = 0.342974
10.505000000000001;A1;F00; ComputeNewConfiguration()
10.505000000000001;A1;F00; SendNewConfigurationToAp()
10.505000000000001;A1;C03;  - Action (1):
10.505000000000001;A1;C03;    · channel = 1
10.505000000000001;A1;C03;    · cca = -82.000000 dBm
10.505000000000001;A1;C03;    · tx_power = 15.000000 dBm
10.505000000000001;A1;C03;    · max_bandwidth = 1
10.505000000000001;A1;C00;  - Next request to be sent at 11.005000
11.005000000000001;A1;F00; RequestInformationToAp() (request #21)
11.005000000000001;A1;F00; InportReceivingInformationFromAp()
